title,price,category
2019 Alfa Romeo Giulia Quadrifoglio,"Bid to $40,750 on 7/18/24",convertibles
1973 Alfa Romeo Giulia 1300 Super,"Bid to $16,751 on 7/5/24",convertibles
"Alfa Romeo Giulia 1,290cc Engine","Sold for $5,800 on 6/28/24",convertibles
Modified 1964 Alfa Romeo Giulia 1600 Sprint Speciale,"Sold for $70,000 on 6/25/24",convertibles
Modified 1971 Alfa Romeo Giulia Super Biscione 2.0L,"Bid to $75,000 on 6/24/24",convertibles
2017 Alfa Romeo Giulia Quadrifoglio,"Sold for $30,500 on 6/6/24",convertibles
Twin Spark–Powered 1967 Alfa Romeo Giulia Sprint GT Veloce Track Car,"Sold for $31,750 on 6/1/24",convertibles
"1,779cc-Powered 1966 Alfa Romeo Giulia Sprint GT Veloce","Sold for $31,000 on 6/1/24",convertibles
12k-Mile 2018 Alfa Romeo Giulia Quadrifoglio,"Sold for $45,000 on 5/30/24",convertibles
2017 Alfa Romeo Giulia Quadrifoglio,"Sold for $42,250 on 5/22/24",convertibles
1964 Alfa Romeo Giulia Sprint Speciale Project,"Sold for $79,500 on 5/13/24",convertibles
1973 Alfa Romeo Giulia 1300 Super,"Bid to $15,000 on 5/9/24",convertibles
1965 Alfa Romeo Giulia Sprint GT Project,"Sold for $3,200 on 4/30/24",convertibles
"1,750cc-Powered 1967 Alfa Romeo Giulia Sprint GT Veloce","Sold for $47,000 on 4/27/24",convertibles
1966 Alfa Romeo Giulia 1300TI,"Sold for $26,500 on 4/9/24",convertibles
1967 Alfa Romeo Giulia Sprint GT Veloce,"Sold for $66,000 on 4/2/24",convertibles
1966 Alfa Romeo Giulia 1600 Super Bollino d’Oro,"Sold for $47,500 on 3/29/24",convertibles
2.0-Powered 1968 Alfa Romeo Giulia Super Race Car,"Sold for $17,000 on 3/21/24",convertibles
1963 Alfa Romeo Giulia Spider 1600 Project,"Sold for $31,500 on 3/21/24",convertibles
1965 Alfa Romeo Giulia Sprint GT,"Bid to $60,000 on 3/12/24",convertibles
1967 Alfa Romeo Giulia Sprint GT Veloce Project,"Sold for $5,200 on 3/4/24",convertibles
1970 Alfa Romeo Giulia 1300Ti,"Bid to $27,000 on 2/24/24",convertibles
"Alfa Romeo Giulia 1,570cc Engine & 5-Speed Gearbox","Sold for $2,600 on 2/19/24",convertibles
2017 Alfa Romeo Giulia Ti Sport Q2,"Sold for $22,500 on 2/16/24",convertibles
21-Years-Owned 1965 Alfa Romeo Giulia Sprint GT,"Sold for $22,750 on 2/13/24",convertibles
1972 Alfa Romeo Giulia 1300 Super,"Sold for $40,000 on 2/9/24",convertibles
1973 Alfa Romeo Giulia 1600 Super,"Sold for $37,250 on 2/2/24",convertibles
"1,750cc-Powered 1967 Alfa Romeo Giulia Sprint GT Veloce","Sold for $72,500 on 1/24/24",convertibles
"1,750-Powered 1965 Alfa Romeo Giulia 1300 Berlina 5-Speed","Sold for $36,000 on 1/23/24",convertibles
25-Years-Owned 1965 Alfa Romeo Giulia Spider Veloce,"Bid to $52,000 on 1/21/24",convertibles
1963 Alfa Romeo Giulia Sprint 1600,"Sold for $37,000 on 1/3/24",convertibles
1.6L-Powered 1972 Alfa Romeo Giulia 1300 Super 5-Speed,"Sold for $33,000 on 12/22/23",convertibles
1965 Alfa Romeo Giulia Sprint GTA 1600,"Bid to $158,000 on 11/24/23",convertibles
15k-Mile 2019 Alfa Romeo Giulia,"Bid to $17,750 on 11/7/23",convertibles
1965 Alfa Romeo Giulia Spider 1600,"Sold for $37,000 on 11/5/23",convertibles
2018 Alfa Romeo Giulia Quadrifoglio,"Bid to $37,074 on 10/28/23",convertibles
2019 Alfa Romeo Giulia Quadrifoglio NRING,"Sold for $58,500 on 10/12/23",convertibles
"1,750-Powered 1966 Alfa Romeo Giulia Sprint GT Veloce","Sold for $31,000 on 9/25/23",convertibles
1970 Alfa Romeo Giulia 1300Ti,"Bid to $14,500 on 9/20/23",convertibles
