title,price,category
1959 Alfa Romeo Giulietta Sprint 5-Speed,"Sold for $68,000 on 7/16/24",convertibles
1959 Alfa Romeo Giulietta Spider 5-Speed,"Bid to $51,000 on 7/13/24",convertibles
1961 Alfa Romeo Giulietta Spider,"Sold for $50,000 on 7/6/24",convertibles
"Alfa Romeo Giulietta 1,290cc Engine and 4-Speed Gearbox","Sold for $7,600 on 7/6/24",convertibles
"Alfa Romeo Giulietta 1,290cc Engine","Sold for $12,250 on 5/27/24",convertibles
41-Years-Owned 1962 Alfa Romeo Giulietta Spider Project,"Sold for $23,000 on 5/24/24",convertibles
1961 Alfa Romeo Giulietta Sprint Speciale,"Sold for $150,000 on 5/2/24",convertibles
1956 Alfa Romeo Giulietta Berlina,"Sold for $20,000 on 4/18/24",convertibles
1961 Alfa Romeo Giulietta TI,"Sold for $24,000 on 4/9/24",convertibles
SZ-Style 1961 Alfa Romeo Giulietta Project,"Bid to $34,444 on 3/19/24",convertibles
1960 Alfa Romeo Giulietta Spider 5-Speed,"Sold for $40,000 on 3/13/24",convertibles
1960 Alfa Romeo Giulietta Spider Veloce 5-Speed,"Sold for $135,000 on 3/6/24",convertibles
1960 Alfa Romeo Giulietta Sprint 5-Speed,"Bid to $42,250 on 2/10/24",convertibles
1962 Alfa Romeo Giulietta Spider Project,"Sold for $6,988 on 2/9/24",convertibles
1962 Alfa Romeo Giulietta Sprint Speciale,"Bid to $90,000 on 1/22/24",convertibles
1957 Alfa Romeo Giulietta Spider,"Bid to $41,250 on 1/14/24",convertibles
1959 Alfa Romeo Giulietta Spider 5-Speed,"Sold for $45,000 on 1/7/24",convertibles
1958 Alfa Romeo Giulietta Spider 750D,"Bid to $35,000 on 12/26/23",convertibles
1960 Alfa Romeo Giulietta Sprint 5-Speed,"Sold for $77,500 on 12/23/23",convertibles
1961 Alfa Romeo Giulietta Sprint Speciale,"Sold for $116,000 on 12/18/23",convertibles
1958 Alfa Romeo Giulietta Sprint Veloce Confortevole 5-Speed,"Sold for $97,500 on 12/2/23",convertibles
1962 Alfa Romeo Giulietta Spider,"Sold for $65,000 on 11/24/23",convertibles
"Alfa Romeo Giulietta 1,290cc Engine and 5-Speed Gearbox","Sold for $4,000 on 11/15/23",convertibles
1960 Alfa Romeo Giulietta Sprint,"Bid to $39,999 on 10/30/23",convertibles
