title,price,category
50k-Mile 2013 BMW 135i Convertible 6-Speed,"Sold for $16,250 on 7/17/24",convertibles
2011 BMW 135i Coupe M Sport 6-Speed,"Sold for $9,600 on 7/8/24",convertibles
17k-Mile 2010 BMW 135i Coupe M Sport,"Bid to $19,000 on 7/7/24",convertibles
2011 BMW 135i Sport Convertible,"Sold for $20,500 on 7/2/24",convertibles
Original-Owner 2008 BMW 135i Sport Coupe 6-Speed,"Sold for $17,500 on 6/19/24",convertibles
2013 BMW 135i Convertible,"Sold for $13,250 on 6/17/24",convertibles
2008 BMW 135i Sport Convertible 6-Speed,"Sold for $12,500 on 5/28/24",convertibles
36k-Mile 2010 BMW 135i Sport Coupe,"Bid to $17,500 on 5/8/24",convertibles
2008 BMW 135i Sport Coupe 6-Speed,"Bid to $14,000 on 5/5/24",convertibles
23k-Mile 2012 BMW 135i Coupe 6-Speed,"Sold for $21,135 on 4/21/24",convertibles
41k-Mile 2008 BMW 135i Sport Coupe 6-Speed,"Sold for $26,750 on 4/18/24",convertibles
2008 BMW 135i Sport Coupe 6-Speed,"Sold for $14,250 on 3/22/24",convertibles
2010 BMW 135i Sport Coupe 6-Speed,"Sold for $21,350 on 3/15/24",convertibles
22k-Mile 2012 BMW 135i Coupe 6-Speed,"Bid to $22,500 on 2/28/24",convertibles
2012 BMW 135i M Sport Coupe 6-Speed,"Sold for $15,650 on 1/31/24",convertibles
23k-Mile 2009 BMW 135i Coupe M Sport 6-Speed,"Sold for $29,000 on 1/14/24",convertibles
2012 BMW 135i M Sport Convertible,"Bid to $10,300 on 12/21/23",convertibles
50k-Mile 2013 BMW 135is Coupe,"Bid to $18,250 on 12/8/23",convertibles
2009 BMW 135i Coupe Sport 6-Speed,"Bid to $17,250 on 12/1/23",convertibles
16k-Mile 2008 BMW 135i Sport Convertible,"Sold for $22,750 on 11/15/23",convertibles
2013 BMW 135is Coupe 6-Speed,"Sold for $26,500 on 10/30/23",convertibles
2011 BMW 135i Sport Convertible,"Sold for $11,500 on 10/28/23",convertibles
62k-Kilometer 2009 BMW 135i Sport Coupe,"Sold for $15,500 on 10/8/23",convertibles
2009 BMW 135i M Sport Coupe 6-Speed,"Bid to $20,000 on 10/5/23",convertibles
30k-Mile 2013 BMW 135i Convertible,"Sold for $16,250 on 9/29/23",convertibles
22k-Mile 2008 BMW 135i Sport Coupe,"Sold for $25,000 on 9/17/23",convertibles
2009 BMW 135i Sport Coupe,"Sold for $11,750 on 9/9/23",convertibles
2010 BMW 135i Sport Coupe 6-Speed,"Sold for $24,750 on 9/1/23",convertibles
2012 BMW 135i M Sport Coupe,"Sold for $12,000 on 8/7/23",convertibles
Modified 2009 BMW 135i Sport Coupe 6-Speed,"Sold for $21,000 on 7/28/23",convertibles
75k-Kilometer 2012 BMW 135i Convertible M Sport 6-Speed,"Sold for $15,000 on 7/24/23",convertibles
37k-Mile 2013 BMW 135i M Sport Convertible,"Bid to $18,000 on 7/17/23",convertibles
43k-Mile 2011 BMW 135i Convertible M Sport 6-Speed,"Bid to $16,750 on 7/7/23",convertibles
12k-Mile 2012 BMW 135i Coupe M Sport 6-Speed,"Sold for $31,250 on 6/25/23",convertibles
Original-Owner 2012 BMW 135i Coupe M Sport 6-Speed,"Sold for $20,750 on 6/23/23",convertibles
2011 BMW 135i Coupe M Sport 6-Speed,"Sold for $18,000 on 6/13/23",convertibles
48k-Mile 2013 BMW 135is Coupe 6-Speed,"Sold for $27,000 on 6/4/23",convertibles
2013 BMW 135i Convertible 6-Speed,"Sold for $18,277 on 6/2/23",convertibles
2013 BMW 135is Coupe,"Sold for $22,999 on 5/28/23",convertibles
29k-Mile 2008 BMW 135i Coupe 6-Speed,"Sold for $29,250 on 5/7/23",convertibles
2009 BMW 135i Coupe 6-Speed,"Sold for $18,550 on 4/30/23",convertibles
2012 BMW 135i Coupe M Sport 6-Speed,"Sold for $21,500 on 4/20/23",convertibles
30k-Mile 2013 BMW 135is Coupe,"Sold for $24,350 on 4/9/23",convertibles
Modified 2008 BMW 135i Coupe 6-Speed,"Sold for $13,000 on 3/30/23",convertibles
2012 BMW 135i Coupe M Sport,"Sold for $20,000 on 3/24/23",convertibles
2011 BMW 135i Convertible,"Sold for $13,500 on 3/12/23",convertibles
2009 BMW 135i Convertible,"Sold for $14,750 on 1/26/23",convertibles
2011 BMW 135i Coupe M Sport 6-Speed,"Sold for $25,000 on 1/6/23",convertibles
74k-Kilometer 2009 BMW 135i Coupe 6-Speed,"Bid to $16,000 on 12/10/22",convertibles
Modified 21k-Mile 2008 BMW 135i Coupe 6-Speed,"Sold for $28,500 on 11/25/22",convertibles
M57 Diesel-Powered 2011 BMW 135i Coupe,"Sold for $52,135 on 11/5/22",convertibles
2013 BMW 135is Coupe 6-Speed,"Sold for $22,250 on 10/30/22",convertibles
14k-Mile 2013 BMW 135is,"Sold for $30,269 on 7/30/22",convertibles
2011 BMW 135i Coupe 6-Speed for Charity,"Sold for $19,000 on 7/12/22",convertibles
2011 BMW 135i Coupe,"Sold for $14,250 on 6/25/22",convertibles
14k-Mile 2009 BMW 135i M Sport Coupe 6-Speed,Withdrawn by BaT on 6/2/22,convertibles
25k-Mile 2008 BMW 135i 6-Speed,"Sold for $22,500 on 5/1/22",convertibles
2013 BMW 135is Coupe,"Sold for $24,500 on 4/30/22",convertibles
11k-Mile 2012 BMW 135i M Sport Coupe 6-Speed,"Sold for $34,000 on 4/11/22",convertibles
2009 BMW 135i Coupe 6-Speed,"Sold for $18,859 on 4/3/22",convertibles
Original-Owner 2013 BMW 135is Coupe 6-Speed,"Sold for $23,250 on 2/8/22",convertibles
Modified 2011 BMW 135i Coupe,"Sold for $22,750 on 12/6/21",convertibles
Orignal-Owner 2009 BMW 135i 6-Speed,"Sold for $23,400 on 11/19/21",convertibles
2008 BMW 135i 6-Speed,"Sold for $20,500 on 11/3/21",convertibles
19k-Mile 2010 BMW 135i 6-Speed,"Sold for $25,500 on 11/1/21",convertibles
2008 BMW 135i Coupe,"Sold for $18,785 on 10/26/21",convertibles
2009 BMW 135i 6-Speed,"Sold for $28,250 on 10/16/21",convertibles
Modified 20k-Mile 2008 BMW 135i Coupe 6-Speed,"Sold for $26,000 on 10/12/21",convertibles
2008 BMW 135i Coupe 6-Speed,"Sold for $17,500 on 9/27/21",convertibles
2013 BMW 135i Lifestyle Edition 6-Speed,"Sold for $28,135 on 9/17/21",convertibles
13k-Mile 2013 BMW 135is,"Sold for $29,500 on 8/25/21",convertibles
21k-Mile 2012 BMW 135i 6-Speed,"Sold for $32,500 on 8/13/21",convertibles
2008 BMW 135i 6-Speed,"Sold for $21,361 on 5/28/21",convertibles
2009 BMW 135i 6-Speed,"Sold for $26,000 on 4/10/21",convertibles
S65-Powered 2009 BMW 135i,"Bid to $34,000 on 3/16/21",convertibles
Modified 2008 BMW 135i 6-Speed,"Sold for $14,550 on 2/22/21",convertibles
2013 BMW 135is Coupe 6-Speed,"Sold for $23,750 on 12/10/20",convertibles
2012 BMW 135i Coupe 6-Speed,"Sold for $19,700 on 11/17/20",convertibles
14k-Mile 2013 BMW 135is 6-Speed,"Sold for $32,500 on 11/13/20",convertibles
2011 BMW 135i,"Sold for $15,500 on 9/7/20",convertibles
2012 BMW 135i DCT,"Sold for $19,100 on 6/25/20",convertibles
2009 BMW 135i 6-Speed,"Sold for $14,000 on 6/16/20",convertibles
2008 BMW 135i 6-Speed,"Sold for $20,250 on 4/30/20",convertibles
2013 BMW 135is 6-Speed,"Sold for $20,135 on 4/8/20",convertibles
2009 BMW 135i Coupe 6-Speed,"Sold for $17,050 on 9/25/19",convertibles
2011 BMW 135i Coupe 6-Speed,"Sold for $16,800 on 3/21/19",convertibles
S65-Powered 2009 BMW 135i,"Bid to $70,000 on 12/20/17",convertibles
Original-Owner 2009 BMW 135i 6-Speed,"Sold for $22,385 on 9/25/17",convertibles
2009 BMW 135i 6-Speed,"Bid to $14,000 on 7/10/17",convertibles
2013 BMW 135is 6-Speed,"Bid to $21,000 on 11/29/16",convertibles
