title,price,category
1999 BMW Alpina B3 3.3 Sedan 6-Speed,"Bid to $22,000 on 6/26/24",convertibles
1996 BMW Alpina B3 3.2 Touring 6-Speed,"Sold for $40,000 on 5/16/24",convertibles
1994 Alpina B3 3.0 Sedan,"Sold for $23,000 on 4/11/24",convertibles
1988 BMW Alpina B3 2.7,"Sold for $135,327 on 12/4/23",convertibles
"1,200-Kilometer 1994 BMW Alpina B3 3.0 Coupe 5-Speed","Sold for $126,000 on 10/31/23",convertibles
1994 BMW Alpina B3 3.0 Sedan,"Sold for $17,500 on 2/15/23",convertibles
1994 BMW Alpina B3 3.0 Sedan,"Sold for $9,900 on 12/14/22",convertibles
1996 BMW Alpina B3 3.2 Cabriolet,"Sold for $19,250 on 11/8/22",convertibles
1994 Alpina B3 3.0/1 Sedan 5-Speed,"Sold for $26,000 on 4/27/22",convertibles
1994 BMW Alpina B3 3.0/1 5-Speed,"Sold for $17,000 on 7/30/20",convertibles
1994 Alpina B3 3.0/1,"Sold for $13,000 on 3/5/20",convertibles
1994 Alpina B3 3.0/1,"Sold for $12,500 on 1/13/20",convertibles
1993 BMW Alpina B3 3.0/1 5-Speed,"Bid to $21,000 on 11/21/19",convertibles
1994 Alpina B3 3.0/1,"Sold for $13,750 on 9/19/19",convertibles
1994 BMW Alpina B3 3.0 5-Speed,"Sold for $35,000 on 7/30/19",convertibles
1994 Alpina B3 3.0/1,"Bid to $12,936 on 4/24/19",convertibles
1994 Alpina B3 3.0/1,"Sold for $13,750 on 4/2/19",convertibles
1993 BMW Alpina B3 3.0 5-Speed,"Bid to $20,000 on 12/10/18",convertibles
1995 Alpina B3 Anniversary Edition,"Sold for $27,000 on 6/14/18",convertibles
