title,price,category
2017 Ford Focus RS,"Sold for $21,200 on 7/8/24",convertibles
2017 Ford Focus RS,"Sold for $30,000 on 6/18/24",convertibles
"1,700-Mile 2018 Ford Focus RS Limited Edition","Sold for $47,750 on 6/4/24",convertibles
Original-Owner 2016 Ford Focus RS,"Sold for $24,250 on 5/28/24",convertibles
18k-Mile 2016 Ford Focus RS,"Bid to $25,500 on 5/2/24",convertibles
2017 Ford Focus RS,"Sold for $29,000 on 4/23/24",convertibles
2017 Ford Focus RS,"Sold for $30,333 on 4/13/24",convertibles
2k-Mile 2018 Ford Focus RS Limited Edition,"Bid to $38,000 on 3/21/24",convertibles
2016 Ford Focus RS,"Sold for $27,000 on 3/1/24",convertibles
16k-Mile 2016 Ford Focus RS,"Sold for $32,750 on 2/23/24",convertibles
8k-Mile 2018 Ford Focus RS,"Sold for $42,000 on 1/26/24",convertibles
"1,100-Mile 2016 Ford Focus RS","Sold for $43,500 on 1/15/24",convertibles
9k-Mile 2016 Ford Focus RS,"Bid to $30,750 on 1/8/24",convertibles
Modified 2017 Ford Focus RS,"Sold for $33,500 on 12/22/23",convertibles
7k-Mile 2016 Ford Focus RS,"Sold for $38,500 on 12/15/23",convertibles
11k-Mile 2017 Ford Focus RS,"Sold for $36,000 on 12/7/23",convertibles
10k-Mile 2018 Ford Focus RS,"Sold for $45,000 on 11/24/23",convertibles
2016 Ford Focus RS,"Bid to $26,750 on 11/12/23",convertibles
"Modified 2,200-Mile 2016 Ford Focus RS","Sold for $43,000 on 11/5/23",convertibles
15k-Mile 2017 Ford Focus RS,"Sold for $26,600 on 10/27/23",convertibles
2017 Ford Focus RS,"Sold for $26,500 on 10/20/23",convertibles
"3,700-Mile 2017 Ford Focus RS","Sold for $38,000 on 9/19/23",convertibles
2017 Ford Focus RS,"Sold for $32,250 on 8/25/23",convertibles
2017 Ford Focus RS,"Sold for $34,500 on 8/4/23",convertibles
2018 Ford Focus RS,"Sold for $42,500 on 7/28/23",convertibles
2016 Ford Focus RS,"Sold for $30,000 on 5/26/23",convertibles
2016 Ford Focus RS,"Sold for $29,500 on 5/10/23",convertibles
18k-Mile 2017 Ford Focus RS,"Sold for $38,500 on 1/22/23",convertibles
2016 Ford Focus RS,"Sold for $34,000 on 12/13/22",convertibles
2016 Ford Focus RS,"Sold for $26,250 on 12/5/22",convertibles
140-Kilometer 2018 Ford Focus RS,"Sold for $44,800 on 7/13/22",convertibles
17k-Mile 2016 Ford Focus RS,"Sold for $37,250 on 7/5/22",convertibles
14k-Mile 2017 Ford Focus RS,"Bid to $33,007 on 6/13/22",convertibles
2016 Ford Focus RS,"Sold for $36,000 on 4/5/22",convertibles
450-Mile 2016 Ford Focus RS,"Sold for $31,000 on 6/23/20",convertibles
"1,300-Mile 2017 Ford Focus RS","Sold for $35,777 on 6/19/20",convertibles
900-Mile 2017 Ford Focus RS,"Sold for $29,500 on 2/4/20",convertibles
2016 Ford Focus RS Rally Car,"Bid to $34,000 on 4/15/19",convertibles
10k-Mile 2016 Ford Focus RS,"Bid to $26,500 on 4/10/19",convertibles
Modified 2016 Ford Focus RS,"Sold for $33,000 on 3/26/19",convertibles
18-Mile 2016 Ford Focus RS,"Bid to $31,250 on 1/26/18",convertibles
