title,price,category
Turbocharged 1990 Volkswagen Golf GTI 16V,"Sold for $12,500 on 7/8/24",convertibles
1.8T-Powered 1989 Volkswagen Golf GTI,"Bid to $10,600 on 6/15/24",convertibles
VR6-Powered 1985 Volkswagen Golf GTI,"Sold for $10,069 on 6/12/24",convertibles
21k-Mile 2003 Volkswagen Golf GTI VR6 6-Speed,"Sold for $20,000 on 4/19/24",convertibles
26-Years-Owned 1991 Volkswagen Golf GTI 2-Door 5-Speed,"Sold for $5,800 on 4/17/24",convertibles
2023 Volkswagen Golf GTI 40th Anniversary 6-Speed,"Sold for $27,004 on 3/22/24",convertibles
Euro 1986 Volkswagen Golf GTI 16S,"Bid to $10,500 on 3/19/24",convertibles
1980 Volkswagen Golf GTI,"Sold for $27,250 on 2/27/24",convertibles
1987 Volkswagen Golf GTI 16V,"Sold for $12,000 on 2/25/24",convertibles
1999 Volkswagen Golf GTI VR6,"Sold for $15,337 on 2/5/24",convertibles
1992 Volkswagen Golf GTI 16V,"Sold for $20,250 on 1/22/24",convertibles
2017 Volkswagen Golf GTI Sport,"Sold for $24,000 on 1/21/24",convertibles
VR6-Powered 1992 Volkswagen Golf GTI,"Sold for $19,500 on 1/15/24",convertibles
1986 Volkswagen Golf GTI,"Sold for $10,000 on 11/20/23",convertibles
Euro 1990 Volkswagen Golf GTI 16V,"Bid to $8,500 on 11/12/23",convertibles
Euro 1996 Volkswagen Golf GTI 4-Door Colour Concept,"Sold for $8,765 on 11/6/23",convertibles
Japanese-Market 1997 Volkswagen Golf GTI 16V 4-Door 5-Speed,"Sold for $11,200 on 10/26/23",convertibles
Turbocharged 1990 Volkswagen Golf GTI 16V,"Sold for $8,700 on 10/21/23",convertibles
Japanese-Market 1997 Volkswagen Golf GTI 16V 5-Speed,"Bid to $11,000 on 10/11/23",convertibles
2.0L 16V–Powered 1986 Volkswagen Golf GTI,"Sold for $10,750 on 9/29/23",convertibles
2.0L 16V–Powered 1986 Volkswagen Golf GTI,"Sold for $11,750 on 7/28/23",convertibles
Supercharged Euro 1987 Volkswagen Golf GTI 16V,"Sold for $28,000 on 7/21/23",convertibles
Japanese-Market 1996 Volkswagen Golf GTI 16V,"Sold for $13,581 on 7/9/23",convertibles
"2,300-Mile 2017 Volkswagen Golf GTI Sport","Sold for $26,006 on 6/20/23",convertibles
19k-Mile 2007 Volkswagen Golf GTI 2-Door 6-Speed,"Sold for $15,000 on 5/17/23",convertibles
2019 Volkswagen Golf GTI Rabbit Edition 6-Speed,"Sold for $26,750 on 4/26/23",convertibles
1987 Volkswagen Golf GTI 16V,"Sold for $12,000 on 4/6/23",convertibles
Japanese-Market 1995 Volkswagen Golf GTI 16V,"Bid to $12,876 on 3/28/23",convertibles
1987 Volkswagen Golf GTI 16V,"Sold for $21,000 on 2/21/23",convertibles
1989 Volkswagen Golf GTI 16V,"Sold for $8,000 on 2/13/23",convertibles
Japanese-Market 1997 Volkswagen Golf GTI 5-Speed,"Sold for $11,300 on 2/7/23",convertibles
1992 Volkswagen Golf GTI 16V,"Sold for $87,000 on 1/28/23",convertibles
1988 Volkswagen Golf GTI 16V,"Sold for $20,000 on 1/20/23",convertibles
1992 Volkswagen Golf GTI 16V,"Sold for $15,000 on 11/16/22",convertibles
1989 Volkswagen Golf GTI 16V,"Sold for $18,000 on 10/25/22",convertibles
1991 Volkswagen Golf GTI 16V,"Sold for $10,750 on 9/7/22",convertibles
59k-Kilometer 1985 Volkswagen Golf GTI,"Sold for $15,250 on 5/16/22",convertibles
2017 Volkswagen Golf GTI 6-Speed,"Sold for $27,000 on 4/26/22",convertibles
1987 Volkswagen Golf GTI 16V,"Sold for $25,250 on 4/4/22",convertibles
1991 Volkswagen Golf GTI 16V,"Sold for $42,560 on 3/24/22",convertibles
1.8T-Powered 1989 Volkswagen Golf GTI,"Sold for $23,000 on 3/3/22",convertibles
1977 Volkswagen Golf GTI,"Sold for $40,250 on 2/27/22",convertibles
8k-Mile 2016 Volkswagen Golf GTI SE,"Sold for $28,101 on 2/5/22",convertibles
Turbocharged 1991 Volkswagen Golf GTI 16V Syncro,"Sold for $19,000 on 11/3/21",convertibles
2003 Volkswagen Golf GTI 20th Anniversary Edition,"Sold for $18,000 on 8/13/21",convertibles
14k-Mile 2003 Volkswagen Golf GTI 20th Anniversary Edition,"Sold for $23,000 on 7/9/21",convertibles
