title,price,category
One-Family-Owned 1980 Volkswagen Scirocco S 5-Speed,"Sold for $13,000 on 7/6/24",convertibles
Modified 1981 Volkswagen Scirocco 5-Speed,"Sold for $10,853 on 6/20/24",convertibles
1986 Volkswagen Scirocco 16V 5-Speed,"Bid to $39,000 on 6/10/24",convertibles
30K-Mile 1984 Volkswagen Scirocco 5-Speed,"Bid to $9,000 on 5/18/24",convertibles
1988 Volkswagen Scirocco 16V,"Bid to $7,800 on 4/17/24",convertibles
1988 Volkswagen Scirocco 16V 5-Speed,"Bid to $20,000 on 3/28/24",convertibles
Modified 1981 Volkswagen Scirocco S 5-Speed,"Sold for $12,500 on 1/8/24",convertibles
Callaway-Turbocharged 1980 Volkswagen Scirocco S 5-Speed,"Sold for $24,000 on 12/16/23",convertibles
Euro 1988 Volkswagen Scirocco Scala 16V 5-Speed,"Sold for $34,500 on 12/5/23",convertibles
1.8T-Powered 1987 Volkswagen Scirocco 16V,"Bid to $12,500 on 11/7/23",convertibles
2.0L-Powered 1981 Volkswagen Scirocco S 5-Speed,"Sold for $9,900 on 10/31/23",convertibles
1982 Volkswagen Scirocco,"Sold for $8,600 on 10/12/23",convertibles
Callaway-Turbocharged 1980 Volkswagen Scirocco 5-Speed,"Sold for $40,000 on 10/1/23",convertibles
1977 Volkswagen Scirocco,"Sold for $7,700 on 8/8/23",convertibles
1987 Volkswagen Scirocco 16V 5-Speed,"Sold for $46,500 on 8/5/23",convertibles
1983 Volkswagen Scirocco Wolfsburg Edition 5-Speed,"Sold for $13,000 on 7/12/23",convertibles
1986 Volkswagen Scirocco 16V 5-Speed,"Sold for $7,700 on 6/3/23",convertibles
1987 Volkswagen Scirocco 16V,"Sold for $16,250 on 4/28/23",convertibles
Euro 1988 Volkswagen Scirocco 16V 5-Speed,"Sold for $33,500 on 1/30/23",convertibles
1986 Volkswagen Scirocco 16V 5-Speed,"Sold for $25,500 on 1/7/23",convertibles
1982 Volkswagen Scirocco 5-Speed Track Car,"Sold for $3,950 on 1/6/23",convertibles
2.0L-Powered 1986 Volkswagen Scirocco 16V 5-Speed,"Sold for $21,500 on 12/18/22",convertibles
30-Years-Owned 1984 Volkswagen Scirocco 5-Speed,"Sold for $9,000 on 11/25/22",convertibles
1981 Volkswagen Scirocco S 5-Speed,"Sold for $31,000 on 11/18/22",convertibles
2.0L-Powered 1981 Volkswagen Scirocco 5-Speed,"Sold for $13,300 on 11/11/22",convertibles
1978 Volkswagen Scirocco,"Sold for $9,700 on 11/2/22",convertibles
1981 Volkswagen Scirocco S 5-Speed,"Sold for $42,000 on 10/8/22",convertibles
Modified 1981 Volkswagen Scirocco S 5-Speed,"Sold for $8,000 on 9/28/22",convertibles
1982 Volkswagen Scirocco 5-Speed,"Sold for $8,200 on 8/22/22",convertibles
1981 Volkswagen Scirocco S 5-Speed,"Sold for $12,300 on 8/15/22",convertibles
1988 Volkswagen Scirocco 16V 5-Speed,"Sold for $15,600 on 7/31/22",convertibles
One-Owner 1986 Volkswagen Scirocco 16V 5-Speed,"Sold for $14,000 on 7/6/22",convertibles
1982 Volkswagen Scirocco 5-Speed,"Sold for $8,300 on 6/29/22",convertibles
1981 Volkswagen Scirocco S 5-Speed,"Sold for $24,100 on 3/20/22",convertibles
1980 Volkswagen Scirocco 5-Speed,"Sold for $12,455 on 2/10/22",convertibles
"4,700-Kilometer 1982 Volkswagen Scirocco GTI 5-Speed","Bid to $22,000 on 12/30/21",convertibles
1988 Volkswagen Scirocco 16V 5-Speed,"Sold for $31,740 on 11/5/21",convertibles
1983 Volkswagen Scirocco Wolfsburg Edition 5-Speed,"Sold for $16,250 on 8/25/21",convertibles
1987 Volkswagen Scirocco 16V 5-Speed,"Sold for $13,000 on 5/25/21",convertibles
1987 Volkswagen Scirocco 16V 5-Speed,"Bid to $5,200 on 5/17/21",convertibles
1984 Volkswagen Scirocco Race Car,"Sold for $11,851 on 2/12/21",convertibles
