make,model,mileage,fuel-type,first-registration,price
alfa romeo,giulietta,121400,b,03-2015,8410
alfa romeo,giulietta,61000,b,06-2018,21870
alfa romeo,giulietta,99700,b,12-2016,12380
alfa romeo,giulietta,47494,b,05-2017,13490
alfa romeo,giulietta,51000,b,03-2020,16590
alfa romeo,giulietta,82600,b,12-2015,17760
alfa romeo,giulietta,129318,b,10-2011,5950
alfa romeo,giulietta,173000,b,04-2018,8200
alfa romeo,giulietta,130000,b,05-2012,10900
alfa romeo,giulietta,217000,b,07-2011,4999
alfa romeo,giulietta,249000,d,12-2014,7499
alfa romeo,giulietta,90000,b,01-2015,12990
alfa romeo,giulietta,155542,b,04-2012,7999
alfa romeo,giulietta,99429,b,11-2013,10590
alfa romeo,giulietta,160000,d,04-2016,10480
alfa romeo,giulietta,33420,b,07-2015,14900
alfa romeo,giulietta,111945,b,05-2012,7990
alfa romeo,giulietta,146315,d,02-2018,13180
alfa romeo,giulietta,54800,b,09-2016,13290
alfa romeo,giulietta,69383,b,10-2011,11000
alfa romeo,giulietta,155000,b,07-2012,9300
alfa romeo,giulietta,140978,b,07-1959,46800
alfa romeo,giulietta,35500,b,07-1978,17870
alfa romeo,giulietta,97000,b,08-2012,5000
alfa romeo,giulietta,153654,d,12-2014,5950
alfa romeo,giulietta,164000,d,04-2011,3990
alfa romeo,giulietta,78000,d,02-2011,4560
alfa romeo,giulietta,127000,b,06-2011,4999
alfa romeo,giulietta,153500,b,07-2012,4800
alfa romeo,giulietta,36591,b,08-2021,11950
alfa romeo,giulietta,200000,d,12-2012,4499
alfa romeo,giulietta,159000,d,03-2011,4950
alfa romeo,giulietta,130000,b,05-2011,4300
alfa romeo,giulietta,136850,b,03-2013,10990
alfa romeo,giulietta,78408,b,05-2012,7480
alfa romeo,giulietta,67622,b,05-2017,12490
alfa romeo,giulietta,170000,d,08-2013,5690
alfa romeo,giulietta,173581,d,06-2012,6390
alfa romeo,giulietta,158676,b,06-2011,5899
alfa romeo,giulietta,152235,b,01-2011,7999
alfa romeo,giulietta,150924,b,11-2012,11490
alfa romeo,giulietta,202000,d,01-2016,8300
alfa romeo,giulietta,208000,b,12-2011,7700
alfa romeo,giulietta,33600,b,02-2016,13999
alfa romeo,giulietta,132000,b,03-2012,5999
alfa romeo,giulietta,128000,b,07-2014,12700
alfa romeo,giulietta,144000,b,12-2010,5800
alfa romeo,giulietta,107000,b,05-2012,8000
alfa romeo,giulietta,62500,b,09-2011,15980
alfa romeo,giulietta,178000,d,07-2015,8200
alfa romeo,giulietta,136000,d,04-2012,7980
alfa romeo,giulietta,180000,d,09-2016,6600
alfa romeo,giulietta,270000,d,02-2014,5790
alfa romeo,giulietta,49300,b,12-2020,15199
alfa romeo,giulietta,117000,b,09-2010,7995
alfa romeo,giulietta,98000,b,07-2015,10200
alfa romeo,giulietta,192805,d,03-2013,4700
alfa romeo,giulietta,75000,b,02-2011,9999
alfa romeo,giulietta,80400,b,03-2017,11390
alfa romeo,giulietta,66200,b,10-2015,12990
alfa romeo,giulietta,143000,d,03-2016,9799
alfa romeo,giulietta,147260,b,03-2014,6990
alfa romeo,giulietta,130000,b,06-2012,13950
alfa romeo,giulietta,175000,b,01-2012,7250
