make,model,mileage,fuel-type,first-registration,price
alfa romeo,giulia,58237,b,01-2021,36990
alfa romeo,giulia,30772,b,05-2020,29490
alfa romeo,giulia,56346,d,06-2016,23980
alfa romeo,giulia,71300,b,12-2019,24945
alfa romeo,giulia,44133,b,03-2019,31990
alfa romeo,giulia,46213,d,06-2016,19999
alfa romeo,giulia,13640,b,05-2021,59990
alfa romeo,giulia,76145,d,10-2016,17490
alfa romeo,giulia,75600,d,12-2017,27990
alfa romeo,giulia,77800,b,06-2021,58770
alfa romeo,giulia,91509,d,10-2020,24980
alfa romeo,giulia,86500,d,12-2017,25400
alfa romeo,giulia,56311,b,04-2021,59850
alfa romeo,giulia,29950,b,05-2023,44950
alfa romeo,giulia,19522,d,04-2022,36480
alfa romeo,giulia,50200,b,09-2021,57900
alfa romeo,giulia,60515,b,02-2021,55940
alfa romeo,giulia,27600,b,03-2021,62470
alfa romeo,giulia,65332,b,04-2019,20980
alfa romeo,giulia,53296,b,04-2021,55800
alfa romeo,giulia,13640,b,05-2021,59990
alfa romeo,giulia,53296,b,04-2021,55800
alfa romeo,giulia,49999,b,05-2019,25950
alfa romeo,giulia,118000,b,02-2017,43990
alfa romeo,giulia,18253,b,08-2022,41800
alfa romeo,giulia,49700,b,05-1972,33500
alfa romeo,giulia,124000,b,07-1971,26000
alfa romeo,giulia,125000,d,07-2018,22995
alfa romeo,giulia,142750,d,04-2017,18890
alfa romeo,giulia,96300,d,09-2016,17476
alfa romeo,giulia,50128,b,06-2019,23990
alfa romeo,giulia,67000,d,08-2017,20490
alfa romeo,giulia,41750,b,12-2018,35890
alfa romeo,giulia,8500,b,10-2018,64900
alfa romeo,giulia,71952,b,03-1972,41900
alfa romeo,giulia,40500,b,07-1970,21950
alfa romeo,giulia,41000,d,02-2021,32490
alfa romeo,giulia,81900,b,07-1970,24900
alfa romeo,giulia,12620,b,04-2017,59880
alfa romeo,giulia,60200,d,11-2021,39990
alfa romeo,giulia,30772,b,05-2020,29490
alfa romeo,giulia,58000,b,06-2018,25000
alfa romeo,giulia,58237,b,01-2021,36990
alfa romeo,giulia,58000,b,07-2017,25000
alfa romeo,giulia,195292,d,08-2016,11490
alfa romeo,giulia,33825,b,09-2020,27950
alfa romeo,giulia,104446,d,12-2021,23990
alfa romeo,giulia,69900,d,07-2017,19860
alfa romeo,giulia,224000,b,01-2019,25000
alfa romeo,giulia,122200,b,08-2017,17900
alfa romeo,giulia,42501,b,04-2020,26990
alfa romeo,giulia,37161,b,07-2018,47990
alfa romeo,giulia,62000,d,07-2016,17999
alfa romeo,giulia,27500,b,07-2019,44900
alfa romeo,giulia,109000,d,04-2017,17900
alfa romeo,giulia,34993,b,09-2020,31900
