make,model,mileage,fuel-type,first-registration,price
audi,rs4,6355,b,08-2023,85870
audi,rs4,23352,b,07-2021,72460
audi,rs4,80000,b,04-2015,43880
audi,rs4,69182,b,07-2019,54940
audi,rs4,85900,b,06-2018,60890
audi,rs4,59800,b,09-2021,66850
audi,rs4,102500,b,05-2018,51990
audi,rs4,8750,b,12-2023,87980
audi,rs4,46309,b,03-2020,68475
audi,rs4,39900,b,07-2021,64980
audi,rs4,10287,b,11-2021,71342
audi,rs4,32248,b,03-2022,75989
audi,rs4,16348,b,07-2021,62975
audi,rs4,24673,b,08-2018,63267
audi,rs4,105500,b,07-2018,50950
audi,rs4,99650,b,05-2018,52950
audi,rs4,135000,b,09-2000,74500
audi,rs4,12890,b,11-2023,85690
audi,rs4,14928,b,11-2023,84980
audi,rs4,23352,b,07-2021,72460
audi,rs4,11918,b,11-2023,84690
audi,rs4,70079,b,05-2013,43490
audi,rs4,227000,b,05-2007,21999
audi,rs4,182500,b,03-2013,29990
audi,rs4,128500,b,05-2013,37770
audi,rs4,1450,b,11-2022,128950
audi,rs4,17000,b,05-2021,72500
audi,rs4,2050,b,11-2022,128950
audi,rs4,110000,b,08-2018,52360
audi,rs4,29500,b,10-2022,89900
audi,rs4,190000,b,02-2013,33900
audi,rs4,169500,b,03-2014,25900
audi,rs4,150000,b,12-2006,24950
audi,rs4,49396,b,06-2021,64785
audi,rs4,89000,b,12-2018,49900
audi,rs4,99000,b,05-2006,42000
audi,rs4,75000,b,05-2018,54490
audi,rs4,77700,b,08-2019,52990
audi,rs4,49820,b,10-2020,59970
audi,rs4,80000,b,04-2015,43880
audi,rs4,32624,b,06-2020,67870
audi,rs4,167000,b,08-2006,29999
audi,rs4,8300,b,01-2024,82900
audi,rs4,122000,b,07-2015,42900
audi,rs4,102000,b,07-2018,44990
audi,rs4,26626,b,12-2020,62666
audi,rs4,45069,b,05-2020,60850
audi,rs4,99600,b,04-2008,42900
audi,rs4,178860,b,03-2015,33999
audi,rs4,41500,b,04-2018,63500
audi,rs4,44677,b,07-2021,67549
audi,rs4,83501,b,10-2013,39800
audi,rs4,38100,b,06-2020,69980
audi,rs4,30242,b,04-2021,65997
audi,rs4,38300,b,08-2018,59390
audi,rs4,23290,b,12-2021,68935
audi,rs4,122000,b,02-2013,37999
audi,rs4,86000,b,06-2018,52890
audi,rs4,74500,b,06-2007,42900
audi,rs4,9486,b,11-2023,91490
audi,rs4,179914,b,10-2007,32900
audi,rs4,38604,b,09-2022,66500
audi,rs4,91292,b,08-2019,52530
audi,rs4,56000,b,02-2020,61200
audi,rs4,136500,b,04-2019,46950
audi,rs4,68700,b,10-2020,56888
audi,rs4,122303,b,03-2015,37700
audi,rs4,99999,b,01-2015,41490
audi,rs4,45032,b,08-2019,62630
audi,rs4,100000,b,12-2000,89999
audi,rs4,210500,b,08-2001,54900
audi,rs4,196000,b,03-2013,28999
audi,rs4,67152,b,08-2018,55466
audi,rs4,50237,b,05-2021,65950
audi,rs4,205000,b,04-2001,51000
audi,rs4,83100,b,06-2015,41999
audi,rs4,137450,b,05-2007,36420
audi,rs4,97000,b,02-2006,39900
audi,rs4,4000,b,01-2024,87900
audi,rs4,61566,b,12-2019,56490
audi,rs4,117000,b,08-2018,47200
audi,rs4,15200,b,11-2023,89900
audi,rs4,19900,b,10-2023,89900
audi,rs4,11444,b,12-2023,88888
audi,rs4,50000,b,03-2003,85900
audi,rs4,64725,b,05-2021,66690
audi,rs4,158000,b,04-2007,30500
audi,rs4,61954,b,08-2019,57445
audi,rs4,97000,b,09-2020,54980
audi,rs4,7971,b,10-2023,85493
audi,rs4,43197,b,06-2018,58480
audi,rs4,73500,b,05-2007,49950
audi,rs4,14700,b,01-2022,70850
audi,rs4,12000,b,07-2023,89960
audi,rs4,31000,b,04-2021,79900
audi,rs4,29266,b,07-2021,81990
audi,rs4,103256,b,06-2018,53900
audi,rs4,4804,b,10-2023,83920
audi,rs4,8300,b,11-2023,86689
audi,rs4,8300,b,11-2023,86689
audi,rs4,85990,b,02-2020,58990
audi,rs4,100000,b,04-2018,51900
audi,rs4,28962,b,08-2019,59990
audi,rs4,59048,b,03-2022,70880
audi,rs4,39037,b,04-2021,66895
audi,rs4,49900,b,03-2018,59999
audi,rs4,6600,b,03-2023,77850
audi,rs4,105271,b,02-2021,54930
audi,rs4,9990,b,11-2023,82899
audi,rs4,83120,b,04-2018,55500
audi,rs4,189000,b,08-2001,51900
audi,rs4,104500,b,09-2006,37500
audi,rs4,172650,b,10-2001,49900
audi,rs4,15673,b,03-2023,89580
audi,rs4,69750,b,04-2018,55990
audi,rs4,46870,b,03-2021,69700
audi,rs4,34925,b,07-2021,70850
audi,rs4,163885,b,05-2001,37900
audi,rs4,20950,b,05-2023,75890
audi,rs4,51541,b,08-2020,63950
audi,rs4,9486,b,11-2023,91490
audi,rs4,74000,b,08-2019,62599
audi,rs4,76000,b,07-2020,62930
audi,rs4,90000,b,09-2020,66800
audi,rs4,205000,b,06-2001,49500
audi,rs4,59600,b,04-2019,79700
audi,rs4,41549,b,05-2020,64991
audi,rs4,133382,b,03-2013,37990
audi,rs4,11894,b,11-2023,81930
audi,rs4,2900,b,03-2023,99980
audi,rs4,3997,b,04-2023,82998
audi,rs4,12991,b,09-2023,89890
audi,rs4,30584,b,07-2019,67980
audi,rs4,13764,b,11-2023,82880
audi,rs4,45400,b,06-2020,67747
audi,rs4,11209,b,03-2023,79950
audi,rs4,2500,b,06-2024,92599
audi,rs4,50000,b,11-2017,56840
audi,rs4,21900,b,08-2023,79990
audi,rs4,5900,b,03-2023,105900
audi,rs4,181900,b,03-2013,31600
audi,rs4,15248,b,11-2022,79890
audi,rs4,103000,b,11-2020,59900
audi,rs4,25856,b,05-2023,82990
audi,rs4,9000,b,01-2024,124990
audi,rs4,26070,b,08-2022,83490
audi,rs4,55070,b,05-2022,79940
audi,rs4,24500,b,06-2022,75750
audi,rs4,26126,b,04-2021,72890
audi,rs4,208000,b,03-2001,43900
audi,rs4,12500,b,03-2024,88536
audi,rs4,1020,b,05-2023,101850
audi,rs4,15560,b,04-2023,84920
audi,rs4,59846,b,06-2021,70820
audi,rs4,298000,b,10-2006,26500
audi,rs4,2100,b,07-2023,78850
audi,rs4,10719,b,01-2024,84374
audi,rs4,2200,b,02-2024,88850
audi,rs4,3481,b,12-2023,93750
audi,rs4,119000,b,11-2014,40900
audi,rs4,165000,b,03-2006,31850
audi,rs4,17800,b,10-2023,89900
audi,rs4,187000,b,06-2001,49900
audi,rs4,16900,b,10-2023,89900
audi,rs4,4990,b,09-2023,86980
audi,rs4,37500,b,12-2019,69990
audi,rs4,125000,b,11-2000,52999
audi,rs4,12550,b,12-2023,87980
audi,rs4,83000,b,08-2018,56990
audi,rs4,13150,b,09-2023,83690
audi,rs4,113520,b,06-2006,49900
audi,rs4,150,b,02-2024,78980
audi,rs4,19900,b,08-2022,78479
audi,rs4,2670,b,07-2023,109950
audi,rs4,3900,b,06-2024,112890
audi,rs4,94900,b,08-2012,42900
audi,rs4,45500,b,05-2020,68500
audi,rs4,8500,b,02-2023,99840
audi,rs4,53955,b,04-2021,68990
audi,rs4,9000,b,03-2024,93880
audi,rs4,9300,b,01-2023,89990
audi,rs4,41800,b,10-2020,67240
audi,rs4,24882,b,03-2023,82980
audi,rs4,2100,b,06-2024,100870
audi,rs4,93850,b,02-2022,61450
audi,rs4,18988,b,10-2020,65450
audi,rs4,11400,b,11-2023,82899
audi,rs4,43800,b,03-2021,68880
audi,rs4,11500,b,07-2023,81688
audi,rs4,38040,b,06-2021,67016
audi,rs4,66335,b,11-2022,74999
audi,rs4,73572,b,08-2019,59890
audi,rs4,16485,b,09-2023,86990
audi,rs4,12668,b,12-2023,87980
audi,rs4,192200,b,03-2007,29900
audi,rs4,96983,b,12-2012,49980
audi,rs4,194000,b,09-2000,39990
audi,rs4,5300,b,11-2023,92985
audi,rs4,5990,b,03-2024,97990
audi,rs4,8800,b,12-2022,77980
audi,rs4,19990,b,11-2021,67507
audi,rs4,99980,b,08-2006,41990
audi,rs4,215000,b,03-2013,34300
audi,rs4,55216,b,04-2021,67460
audi,rs4,42000,b,03-2020,69900
audi,rs4,10678,b,06-2023,83440
audi,rs4,15500,b,05-2023,82900
audi,rs4,1100,b,07-2024,92950
audi,rs4,34000,b,07-2022,85990
audi,rs4,138016,b,05-2001,52999
audi,rs4,3050,b,12-2023,99980
audi,rs4,11630,b,11-2023,82990
audi,rs4,16697,b,04-2023,82980
audi,rs4,12800,b,02-2023,99840
audi,rs4,4990,b,05-2024,105490
audi,rs4,102000,b,06-2012,45000
audi,rs4,9260,b,12-2023,88980
audi,rs4,22555,b,06-2023,83990
audi,rs4,13250,b,09-2023,81999
audi,rs4,83104,b,10-2022,68830
audi,rs4,18560,b,11-2021,67770
audi,rs4,10700,b,03-2024,79980
audi,rs4,41200,b,12-2020,98000
audi,rs4,24400,b,03-2022,73990
audi,rs4,145200,b,05-2018,52950
audi,rs4,18200,b,06-2023,84221
audi,rs4,11650,b,11-2023,82689
audi,rs4,4900,b,05-2024,86444
audi,rs4,15244,b,11-2021,68750
audi,rs4,52091,b,08-2019,62940
audi,rs4,32700,b,04-2021,71380
audi,rs4,2001,b,07-2024,99850
audi,rs4,9500,b,12-2023,88448
audi,rs4,25000,b,10-2023,118900
audi,rs4,23500,b,07-2023,85240
audi,rs4,120000,b,08-2019,52900
audi,rs4,3000,b,07-2024,99880
audi,rs4,170000,b,03-2007,34000
audi,rs4,12007,b,08-2023,92950
audi,rs4,10000,b,07-2024,114750
audi,rs4,12700,b,11-2023,83979
audi,rs4,71687,b,05-2021,65960
audi,rs4,40200,b,07-2022,75440
audi,rs4,15926,b,10-2020,65800
audi,rs4,7980,b,04-2024,97888
audi,rs4,10666,b,11-2023,88990
audi,rs4,2000,b,07-2024,99980
audi,rs4,59800,b,06-2018,62990
audi,rs4,20250,b,09-2022,78780
audi,rs4,2001,b,07-2024,96450
audi,rs4,33470,b,11-2022,79930
audi,rs4,11971,b,11-2023,86980
audi,rs4,2001,b,07-2024,95450
audi,rs4,16625,b,05-2022,79950
audi,rs4,11728,b,11-2021,73950
audi,rs4,65400,b,11-2020,63290
audi,rs4,22390,b,07-2022,84800
audi,rs4,64344,b,06-2021,66880
audi,rs4,31850,b,12-2020,75000
audi,rs4,12108,b,11-2023,83970
audi,rs4,110000,b,07-2019,53900
audi,rs4,82249,b,08-2020,66980
audi,rs4,16442,b,11-2021,69800
audi,rs4,10365,b,11-2023,85980
audi,rs4,72486,b,08-2019,64999
audi,rs4,23990,b,02-2022,79290
audi,rs4,2057,b,02-2023,84890
audi,rs4,9169,b,11-2023,83980
audi,rs4,165851,b,04-2018,56599
audi,rs4,12348,b,09-2023,89990
audi,rs4,4899,b,05-2024,91141
audi,rs4,3100,b,05-2024,109890
audi,rs4,16490,b,01-2023,82900
audi,rs4,86241,b,05-2021,63925
audi,rs4,10000,b,06-2024,119740
audi,rs4,53804,b,09-2022,73940
audi,rs4,10400,b,11-2023,86550
audi,rs4,79570,b,12-2021,65991
audi,rs4,12,b,02-2023,99990
audi,rs4,3100,b,05-2024,116890
audi,rs4,9900,b,04-2024,99990
audi,rs4,9990,b,01-2024,96710
audi,rs4,15000,b,07-2023,96890
audi,rs4,110000,b,07-2018,45900
