make,model,mileage,fuel-type,first-registration,price
bmw,128,54750,b,05-2021,31749
bmw,128,17800,b,02-2023,34900
bmw,128,96000,b,12-2020,26999
bmw,128,155304,b,07-2010,4390
bmw,128,223000,d,05-2009,5650
bmw,128,19900,b,11-2021,28025
bmw,128,17320,b,04-2022,33250
bmw,128,10634,b,03-2022,35750
bmw,128,39000,b,05-2022,30900
bmw,128,34787,b,11-2020,31990
bmw,128,32496,b,04-2021,29390
bmw,128,16418,b,09-2021,32490
bmw,128,80900,b,04-2021,28890
bmw,128,18635,b,06-2021,31390
bmw,128,8000,b,04-2023,37995
bmw,128,31000,b,03-2021,32900
bmw,128,32280,b,12-2020,30980
bmw,128,42910,b,02-2021,31990
bmw,128,19200,b,08-2022,33500
bmw,128,19200,b,08-2022,33500
bmw,128,48367,b,05-2023,32220
bmw,128,24990,b,05-2023,35990
bmw,128,11038,b,12-2022,38880
bmw,128,25916,b,03-2022,35490
bmw,128,48189,b,05-2023,32330
bmw,128,16127,b,02-2023,34900
bmw,128,5500,b,02-2021,34750
bmw,128,67300,b,04-2021,30490
bmw,128,23918,b,06-2021,32390
bmw,128,27880,b,08-2023,36700
bmw,128,15200,b,01-2023,34900
bmw,128,13200,b,01-2023,39850
bmw,128,21253,b,11-2022,35930
bmw,128,30685,b,12-2022,35730
bmw,128,19000,b,01-2023,38850
bmw,128,26546,b,05-2023,39900
bmw,128,9200,b,01-2023,39850
bmw,128,123,2,01-2024,1234
