make,model,mileage,fuel-type,first-registration,price
volkswagen,golf gtd,15155,d,12-2022,33430
volkswagen,golf gtd,37845,d,01-2022,33930
volkswagen,golf gtd,27900,d,02-2023,34330
volkswagen,golf gtd,54452,d,06-2022,32930
volkswagen,golf gtd,74600,d,03-2016,22480
volkswagen,golf gtd,132222,d,03-2014,16900
volkswagen,golf gtd,133000,d,04-2018,20890
volkswagen,golf gtd,169100,d,10-2014,15950
volkswagen,golf gtd,98135,d,02-2011,12300
volkswagen,golf gtd,282000,d,04-2012,11490
volkswagen,golf gtd,174000,d,04-2016,10500
volkswagen,golf gtd,244965,d,10-2009,7490
volkswagen,golf gtd,157000,d,05-2016,14900
volkswagen,golf gtd,77000,d,04-2019,24950
volkswagen,golf gtd,108000,d,07-2018,22500
volkswagen,golf gtd,96747,d,10-2016,12990
volkswagen,golf gtd,161000,d,12-2014,12000
volkswagen,golf gtd,160000,d,05-2015,15500
volkswagen,golf gtd,207000,d,05-2014,11950
volkswagen,golf gtd,160000,d,05-2015,15500
volkswagen,golf gtd,207000,d,05-2014,11950
volkswagen,golf gtd,161000,d,11-2014,15800
volkswagen,golf gtd,243790,d,09-2015,11000
volkswagen,golf gtd,132000,d,03-2016,15000
volkswagen,golf gtd,28500,d,03-2023,32600
volkswagen,golf gtd,140000,d,01-2016,16000
volkswagen,golf gtd,138000,d,01-2018,19900
volkswagen,golf gtd,241000,d,03-2016,12950
volkswagen,golf gtd,210000,d,05-2011,8300
volkswagen,golf gtd,166832,d,09-2012,11500
volkswagen,golf gtd,161000,d,09-2017,17999
volkswagen,golf gtd,150000,d,08-2017,18990
volkswagen,golf gtd,165000,d,02-2014,13999
volkswagen,golf gtd,59850,d,10-2016,15350
volkswagen,golf gtd,138765,d,02-2015,16200
volkswagen,golf gtd,165000,d,11-2014,15500
volkswagen,golf gtd,219000,d,02-2017,17900
volkswagen,golf gtd,56000,d,07-2021,29999
volkswagen,golf gtd,171500,d,07-2016,12999
volkswagen,golf gtd,224400,d,06-2013,10680
volkswagen,golf gtd,165500,d,01-2016,14500
volkswagen,golf gtd,208000,d,07-2016,10000
volkswagen,golf gtd,103000,d,04-2015,15500
volkswagen,golf gtd,118000,d,05-2018,20999
volkswagen,golf gtd,160000,d,11-2015,15200
volkswagen,golf gtd,176000,d,09-2012,10500
volkswagen,golf gtd,94100,d,06-2015,18800
volkswagen,golf gtd,199500,d,07-2013,12600
volkswagen,golf gtd,149999,d,09-2017,16990
volkswagen,golf gtd,178500,d,12-2013,12500
volkswagen,golf gtd,199999,d,06-2015,12500
volkswagen,golf gtd,133000,d,10-2015,16400
volkswagen,golf gtd,157000,d,01-2016,15300
volkswagen,golf gtd,136000,d,06-2010,10950
volkswagen,golf gtd,122356,d,02-2015,17000
volkswagen,golf gtd,146000,d,06-2016,12900
volkswagen,golf gtd,95200,d,02-2018,22500
volkswagen,golf gtd,250000,d,05-2014,12500
volkswagen,golf gtd,136000,d,06-2010,11000
volkswagen,golf gtd,120000,d,06-2018,21000
volkswagen,golf gtd,14268,d,11-2022,31989
volkswagen,golf gtd,99800,d,04-2016,19300
volkswagen,golf gtd,171000,d,01-2016,15000
volkswagen,golf gtd,163000,d,09-2015,14900
volkswagen,golf gtd,110300,d,05-2017,20000
volkswagen,golf gtd,210000,d,05-2013,12500
volkswagen,golf gtd,124980,d,10-2015,16200
volkswagen,golf gtd,168000,d,06-2016,14977
volkswagen,golf gtd,120803,d,02-2017,17550
volkswagen,golf gtd,125683,d,12-2014,17575
volkswagen,golf gtd,148000,d,09-2013,15500
volkswagen,golf gtd,225300,d,08-2016,12998
volkswagen,golf gtd,184000,d,07-2017,14599
volkswagen,golf gtd,190000,d,06-2016,16000
volkswagen,golf gtd,148300,d,05-2017,19300
volkswagen,golf gtd,159000,d,02-2015,12900
volkswagen,golf gtd,76000,d,01-2018,19500
volkswagen,golf gtd,70000,d,08-2018,24000
volkswagen,golf gtd,140000,d,06-2014,15500
volkswagen,golf gtd,140000,d,06-2014,15500
volkswagen,golf gtd,158500,d,05-2016,16500
volkswagen,golf gtd,153000,d,09-2016,18500
volkswagen,golf gtd,227037,d,09-2015,13899
volkswagen,golf gtd,145000,d,01-2017,16890
volkswagen,golf gtd,153000,d,11-2015,13999
volkswagen,golf gtd,207000,d,05-2016,13500
volkswagen,golf gtd,285000,d,07-1991,3850
volkswagen,golf gtd,215000,d,01-2014,12900
volkswagen,golf gtd,112000,d,06-2016,17900
volkswagen,golf gtd,38000,d,05-2022,33400
volkswagen,golf gtd,51920,d,01-2021,31480
volkswagen,golf gtd,195000,d,05-2016,13900
volkswagen,golf gtd,101000,d,03-2018,25500
volkswagen,golf gtd,8459,d,01-2022,35890
volkswagen,golf gtd,25750,d,10-2022,35849
volkswagen,golf gtd,209000,d,06-2016,12200
volkswagen,golf gtd,165800,d,03-2016,16100
volkswagen,golf gtd,49100,d,11-2021,32000
volkswagen,golf gtd,5300,d,03-2024,41000
volkswagen,golf gtd,184500,d,03-2018,15950
volkswagen,golf gtd,157000,d,10-2014,15400
volkswagen,golf gtd,22000,d,03-2023,38700
volkswagen,golf gtd,58449,d,02-2021,32480
volkswagen,golf gtd,165000,d,09-2014,19000
volkswagen,golf gtd,135000,d,02-2018,23500
volkswagen,golf gtd,98500,d,01-2018,24990
volkswagen,golf gtd,110000,d,03-2016,15750
volkswagen,golf gtd,184000,d,07-2017,14599
volkswagen,golf gtd,134000,d,10-2016,18500
volkswagen,golf gtd,97710,d,05-2016,19900
volkswagen,golf gtd,198430,d,07-2017,17000
volkswagen,golf gtd,144750,d,08-2018,21000
volkswagen,golf gtd,171136,d,06-2016,16500
volkswagen,golf gtd,102000,d,08-2017,20499
volkswagen,golf gtd,112700,d,03-2019,26500
volkswagen,golf gtd,184200,d,04-2015,14900
volkswagen,golf gtd,101700,d,09-2015,17750
volkswagen,golf gtd,141000,d,12-2016,16000
volkswagen,golf gtd,160000,d,11-2015,16500
volkswagen,golf gtd,82127,d,03-2018,22900
volkswagen,golf gtd,135000,d,01-2018,20900
volkswagen,golf gtd,117305,d,02-2014,15999
volkswagen,golf gtd,136000,d,08-2014,17995
volkswagen,golf gtd,18168,d,05-2022,34260
volkswagen,golf gtd,160000,d,03-2014,14750
volkswagen,golf gtd,95000,d,07-2018,22000
volkswagen,golf gtd,125000,d,11-2016,19000
volkswagen,golf gtd,130000,d,05-2019,25000
volkswagen,golf gtd,147000,d,07-2014,17500
volkswagen,golf gtd,15398,d,11-2022,31989
volkswagen,golf gtd,56840,d,02-2022,34480
volkswagen,golf gtd,167000,d,02-2015,15900
volkswagen,golf gtd,197000,d,06-2015,13999
volkswagen,golf gtd,600,d,02-2023,43000
volkswagen,golf gtd,176900,d,01-2015,17000
volkswagen,golf gtd,88800,d,01-2016,21500
volkswagen,golf gtd,31560,d,11-2023,31990
volkswagen,golf gtd,119000,d,05-2019,22900
volkswagen,golf gtd,135000,d,11-2013,16500
volkswagen,golf gtd,121500,d,06-2017,21900
volkswagen,golf gtd,90000,d,04-2020,85000
volkswagen,golf gtd,140000,d,12-2013,16500
volkswagen,golf gtd,115000,d,09-2017,21890
volkswagen,golf gtd,45240,d,04-2022,30980
volkswagen,golf gtd,239800,d,04-2015,12750
volkswagen,golf gtd,19536,d,11-2022,31989
volkswagen,golf gtd,26738,d,11-2022,31989
volkswagen,golf gtd,31980,d,03-2022,34990
volkswagen,golf gtd,168000,d,07-2015,17000
volkswagen,golf gtd,187000,d,07-2015,14600
volkswagen,golf gtd,198000,d,04-1986,9990
volkswagen,golf gtd,46557,d,01-2022,36480
volkswagen,golf gtd,11990,d,08-2023,44980
volkswagen,golf gtd,45207,d,08-2022,36000
volkswagen,golf gtd,125400,d,11-2017,22500
volkswagen,golf gtd,23240,d,10-2022,41480
volkswagen,golf gtd,10251,d,12-2022,37979
volkswagen,golf gtd,194000,d,12-2015,16150
volkswagen,golf gtd,7999,d,10-2023,42280
volkswagen,golf gtd,145000,d,09-2015,17300
volkswagen,golf gtd,14999,d,08-2023,44480
volkswagen,golf gtd,60000,d,03-2021,35350
volkswagen,golf gtd,175000,d,07-2015,23000
volkswagen,golf gtd,21457,d,08-2023,39000
volkswagen,golf gtd,196000,d,04-2014,15500
volkswagen,golf gtd,168000,d,07-2016,17500
volkswagen,golf gtd,14999,d,10-2023,43970
volkswagen,golf gtd,70,d,03-2023,45850
volkswagen,golf gtd,218880,d,09-2015,12600
volkswagen,golf gtd,198542,d,03-2014,11790
volkswagen,golf gtd,175000,d,01-2015,12600
volkswagen,golf gtd,144000,d,03-2015,15299
volkswagen,golf gtd,194800,d,07-2015,11980
volkswagen,golf gtd,185000,d,12-2014,12500
volkswagen,golf gtd,157000,d,12-2015,14500
volkswagen,golf gtd,301513,d,05-2017,9480
volkswagen,golf gtd,180000,d,04-2015,13400
volkswagen,golf gtd,61000,d,08-2022,29999
volkswagen,golf gtd,161000,d,09-2014,11790
volkswagen,golf gtd,172000,d,11-2016,11450
