make,model,mileage,fuel-type,first-registration,price
volkswagen,scirocco,175500,b,05-2010,4950
volkswagen,scirocco,94466,b,11-2009,8890
volkswagen,scirocco,111161,b,07-2015,24690
volkswagen,scirocco,165467,b,05-2010,7980
volkswagen,scirocco,168000,b,04-2009,4999
volkswagen,scirocco,202135,b,04-2010,4750
volkswagen,scirocco,60060,b,01-2018,19990
volkswagen,scirocco,109916,b,04-2011,9490
volkswagen,scirocco,108000,b,04-2010,9950
volkswagen,scirocco,156402,b,06-2013,9900
volkswagen,scirocco,141500,b,07-2009,7990
volkswagen,scirocco,150000,b,05-2009,7900
volkswagen,scirocco,38500,b,01-2011,11990
volkswagen,scirocco,161800,d,05-2009,8950
volkswagen,scirocco,98600,b,01-1980,14900
volkswagen,scirocco,144000,b,11-2011,7990
volkswagen,scirocco,184000,b,12-2013,15900
volkswagen,scirocco,78000,b,04-2015,12790
volkswagen,scirocco,127100,b,11-2015,11950
volkswagen,scirocco,111161,b,07-2015,24690
volkswagen,scirocco,78000,b,04-2015,12790
volkswagen,scirocco,127100,b,11-2015,11950
volkswagen,scirocco,85218,b,01-2015,16298
volkswagen,scirocco,131000,b,07-2016,15900
volkswagen,scirocco,134277,b,05-2013,11570
volkswagen,scirocco,235000,d,04-2012,8490
volkswagen,scirocco,174059,b,01-2013,13480
volkswagen,scirocco,261000,b,11-2013,6700
volkswagen,scirocco,12500,b,05-2009,13750
volkswagen,scirocco,75000,b,03-2016,16900
volkswagen,scirocco,100000,b,11-2011,14999
volkswagen,scirocco,200000,b,03-2009,4500
volkswagen,scirocco,154000,b,12-2008,5000
volkswagen,scirocco,399420,b,08-2008,1999
volkswagen,scirocco,55000,b,08-2009,9550
volkswagen,scirocco,228641,b,10-2008,3950
volkswagen,scirocco,214000,b,08-2009,5800
volkswagen,scirocco,153000,b,04-2009,3200
volkswagen,scirocco,164500,b,01-2011,5700
volkswagen,scirocco,139000,b,03-2012,6590
volkswagen,scirocco,133564,b,07-2013,4900
volkswagen,scirocco,208192,b,04-2009,4750
volkswagen,scirocco,71963,b,12-2012,11750
volkswagen,scirocco,132000,b,04-2011,6900
volkswagen,scirocco,219022,b,06-2010,6000
volkswagen,scirocco,95000,b,05-2010,7000
volkswagen,scirocco,203085,b,11-2011,4690
volkswagen,scirocco,214750,b,06-2012,6500
volkswagen,scirocco,124500,b,03-2011,7790
volkswagen,scirocco,149000,b,06-2009,6000
volkswagen,scirocco,160000,b,04-2012,6600
volkswagen,scirocco,243000,b,11-2009,4500
volkswagen,scirocco,175000,b,10-2008,5977
volkswagen,scirocco,121000,b,06-2011,7999
volkswagen,scirocco,139911,b,07-2012,10450
volkswagen,scirocco,115000,b,01-2009,6990
volkswagen,scirocco,119000,b,08-2012,7999
volkswagen,scirocco,137000,d,10-2015,10950
volkswagen,scirocco,149000,b,09-2013,7900
volkswagen,scirocco,136500,b,07-2009,6900
volkswagen,scirocco,191000,b,12-2008,5850
volkswagen,scirocco,120000,b,08-2008,4000
volkswagen,scirocco,138000,b,06-2009,5900
volkswagen,scirocco,88000,b,12-2009,7999
volkswagen,scirocco,124499,b,02-2015,21299
volkswagen,scirocco,121000,b,06-2011,7350
volkswagen,scirocco,275500,d,10-2010,6990
volkswagen,scirocco,179100,b,04-2010,5500
volkswagen,scirocco,240000,b,05-2009,3950
volkswagen,scirocco,150000,b,04-2012,9980
volkswagen,scirocco,205000,b,08-2010,6900
volkswagen,scirocco,130010,b,12-2010,6990
volkswagen,scirocco,147000,b,05-2010,6300
volkswagen,scirocco,101500,d,05-2017,15950
volkswagen,scirocco,191000,b,10-2010,5700
volkswagen,scirocco,213000,b,04-2009,6000
volkswagen,scirocco,212000,b,12-2008,5990
volkswagen,scirocco,258000,d,12-2008,5990
volkswagen,scirocco,57700,b,12-2015,15670
volkswagen,scirocco,228976,b,04-2009,4000
volkswagen,scirocco,200000,b,03-2009,4300
volkswagen,scirocco,145000,b,07-2009,5990
volkswagen,scirocco,88000,b,04-2009,8700
volkswagen,scirocco,210000,b,06-2010,5400
volkswagen,scirocco,153925,b,02-2012,7500
volkswagen,scirocco,82500,b,02-2016,12500
volkswagen,scirocco,130500,b,04-2009,8500
volkswagen,scirocco,122000,d,06-2014,11700
volkswagen,scirocco,240699,b,10-2012,4990
volkswagen,scirocco,276085,d,10-2011,4499
volkswagen,scirocco,153000,b,08-2011,6900
volkswagen,scirocco,121000,b,06-2010,9200
volkswagen,scirocco,77000,b,02-2011,11999
volkswagen,scirocco,222000,d,11-2011,7600
volkswagen,scirocco,118000,b,03-2009,7600
volkswagen,scirocco,141000,b,10-2009,6500
volkswagen,scirocco,189000,b,12-2010,8500
volkswagen,scirocco,232000,b,04-2009,5500
