make,model,mileage,fuel-type,first-registration,price
bmw,135,194813,b,06-2013,14499
bmw,135,26300,b,08-2021,35750
bmw,135,161000,b,08-2008,11980
bmw,135,22976,b,03-2022,34900
bmw,135,79100,b,03-2020,28900
bmw,135,33716,b,06-2022,39495
bmw,135,59550,b,06-2021,35890
bmw,135,3700,b,07-2022,38790
bmw,135,17600,b,12-2022,38500
bmw,135,62000,b,01-2014,22490
bmw,135,52141,b,10-2020,32890
bmw,135,10570,b,06-2020,34930
bmw,135,10404,b,04-2023,43890
bmw,135,10000,b,07-2023,46235
bmw,135,169000,b,03-2013,12700
bmw,135,175000,b,05-2012,17490
bmw,135,162295,b,12-2014,15999
bmw,135,100000,b,04-2013,21850
bmw,135,230000,b,11-2013,15499
bmw,135,26300,b,08-2021,35750
bmw,135,182071,b,12-2015,19900
bmw,135,56888,b,06-2020,33888
bmw,135,94260,b,12-2019,28499
bmw,135,80471,b,10-2019,29999
bmw,135,49000,b,05-2021,33440
bmw,135,80471,b,10-2019,29999
bmw,135,154000,b,04-2015,27999
bmw,135,40000,b,08-2019,36890
bmw,135,19500,b,01-2020,38775
bmw,135,118406,b,01-2014,16990
bmw,135,31649,b,03-2021,30750
bmw,135,23200,b,09-2020,30890
bmw,135,44000,b,01-2021,29980
bmw,135,114588,b,07-2012,19950
bmw,135,58300,b,11-2020,28999
bmw,135,47614,b,03-2021,32590
bmw,135,126000,b,08-2014,16999
bmw,135,36767,b,09-2021,30490
bmw,135,120000,b,12-2012,19500
bmw,135,207000,b,04-2014,13590
bmw,135,119000,b,04-2009,19950
bmw,135,34500,b,10-2020,31980
bmw,135,14900,b,08-2020,31990
bmw,135,88250,b,03-2016,24950
bmw,135,69800,b,07-2013,23300
bmw,135,61200,b,11-2015,26800
bmw,135,104000,b,04-2009,16900
bmw,135,39300,b,06-2020,29999
bmw,135,16742,b,03-2023,35330
bmw,135,226000,b,12-2014,14500
bmw,135,75254,b,12-2020,28660
