make,model,mileage,fuel-type,first-registration,price
volkswagen,golf gte,28746,2,07-2021,24880
volkswagen,golf gte,18000,2,01-2022,25470
volkswagen,golf gte,53556,2,05-2021,26390
volkswagen,golf gte,35936,2,05-2021,23590
volkswagen,golf gte,13062,2,05-2022,26890
volkswagen,golf gte,20569,2,02-2022,25480
volkswagen,golf gte,17415,2,06-2021,24450
volkswagen,golf gte,21127,2,05-2021,23780
volkswagen,golf gte,125,2,10-2022,31900
volkswagen,golf gte,69134,2,03-2021,21650
volkswagen,golf gte,58700,2,02-2021,23950
volkswagen,golf gte,12574,2,03-2021,23650
volkswagen,golf gte,33212,2,03-2021,23180
volkswagen,golf gte,46278,2,02-2021,23490
volkswagen,golf gte,25957,2,06-2021,23940
volkswagen,golf gte,30241,2,03-2022,25850
volkswagen,golf gte,32780,2,12-2022,25890
volkswagen,golf gte,16755,2,04-2022,29990
volkswagen,golf gte,26270,2,01-2022,23840
volkswagen,golf gte,18000,2,01-2022,25470
volkswagen,golf gte,32840,2,01-2022,23480
volkswagen,golf gte,32762,2,04-2021,23750
volkswagen,golf gte,37213,2,11-2021,25850
volkswagen,golf gte,31438,2,06-2022,27980
volkswagen,golf gte,24458,2,03-2021,23450
volkswagen,golf gte,21770,2,12-2021,23940
volkswagen,golf gte,11875,2,05-2021,24750
volkswagen,golf gte,18616,2,02-2022,29989
volkswagen,golf gte,32292,2,02-2021,26430
volkswagen,golf gte,40350,2,03-2022,30290
volkswagen,golf gte,24990,2,03-2022,24880
volkswagen,golf gte,44488,2,05-2021,28930
volkswagen,golf gte,33060,2,03-2022,25980
volkswagen,golf gte,64244,2,03-2021,22860
volkswagen,golf gte,11850,2,03-2022,26940
volkswagen,golf gte,38891,2,05-2021,23650
volkswagen,golf gte,47228,2,04-2021,24450
volkswagen,golf gte,29706,2,08-2022,25990
volkswagen,golf gte,44780,2,04-2021,25644
volkswagen,golf gte,53556,2,05-2021,26390
volkswagen,golf gte,14174,2,04-2021,24470
volkswagen,golf gte,37229,2,04-2021,26730
volkswagen,golf gte,27020,2,06-2021,23940
volkswagen,golf gte,21660,2,12-2021,24940
volkswagen,golf gte,32986,2,07-2021,24450
volkswagen,golf gte,73115,2,12-2017,19990
volkswagen,golf gte,41500,2,02-2022,27800
volkswagen,golf gte,31700,2,01-2022,23980
volkswagen,golf gte,16587,2,03-2022,25460
volkswagen,golf gte,20500,2,12-2022,30880
volkswagen,golf gte,35021,2,06-2021,23980
volkswagen,golf gte,40133,2,04-2021,22750
volkswagen,golf gte,80460,2,04-2017,18650
volkswagen,golf gte,39999,2,06-2021,23440
volkswagen,golf gte,11688,2,06-2022,27420
volkswagen,golf gte,25150,2,02-2022,23680
volkswagen,golf gte,20637,2,07-2021,23380
volkswagen,golf gte,82793,2,03-2018,17530
volkswagen,golf gte,145000,2,01-2015,13950
volkswagen,golf gte,35936,2,05-2021,23590
volkswagen,golf gte,53914,2,07-2021,22780
volkswagen,golf gte,82793,2,03-2018,17530
volkswagen,golf gte,21638,2,03-2022,26980
volkswagen,golf gte,46278,2,06-2022,24740
volkswagen,golf gte,11955,2,04-2021,28500
volkswagen,golf gte,29000,2,08-2021,32500
volkswagen,golf gte,44396,2,04-2022,31290
volkswagen,golf gte,79358,2,12-2020,20770
volkswagen,golf gte,33080,2,04-2021,25880
volkswagen,golf gte,15787,2,03-2021,25230
volkswagen,golf gte,70205,2,04-2017,18350
volkswagen,golf gte,35800,b,04-2021,24330
volkswagen,golf gte,20070,2,03-2022,31880
volkswagen,golf gte,34959,2,08-2021,28200
volkswagen,golf gte,41958,2,03-2021,24250
volkswagen,golf gte,37100,2,06-2021,27000
volkswagen,golf gte,49310,2,01-2022,24330
volkswagen,golf gte,105000,2,09-2017,22000
volkswagen,golf gte,26984,2,06-2021,23370
volkswagen,golf gte,13062,2,05-2022,26890
volkswagen,golf gte,49928,2,05-2021,28930
volkswagen,golf gte,16090,2,05-2021,26480
volkswagen,golf gte,24999,2,06-2022,31490
volkswagen,golf gte,41779,2,04-2020,23450
volkswagen,golf gte,34153,2,03-2021,24400
volkswagen,golf gte,65300,2,05-2017,20240
volkswagen,golf gte,69999,2,04-2021,25820
volkswagen,golf gte,65573,2,03-2022,29880
volkswagen,golf gte,26771,2,03-2021,24870
volkswagen,golf gte,22196,2,06-2022,25888
volkswagen,golf gte,9947,2,06-2022,31333
volkswagen,golf gte,31434,2,04-2022,28150
volkswagen,golf gte,16200,2,11-2020,24180
volkswagen,golf gte,70205,2,04-2017,18350
volkswagen,golf gte,20138,2,03-2021,26610
volkswagen,golf gte,22710,2,05-2021,25880
volkswagen,golf gte,20810,2,03-2022,24980
volkswagen,golf gte,26800,2,03-2021,23580
volkswagen,golf gte,44900,2,02-2022,24781
volkswagen,golf gte,20569,2,02-2022,25480
volkswagen,golf gte,26937,2,05-2021,23850
volkswagen,golf gte,53534,2,04-2021,23750
volkswagen,golf gte,32524,2,06-2022,27350
volkswagen,golf gte,33048,2,06-2021,24290
volkswagen,golf gte,20713,2,04-2022,27880
volkswagen,golf gte,52228,2,05-2021,26930
volkswagen,golf gte,25100,2,02-2023,29850
volkswagen,golf gte,28115,2,02-2021,25490
volkswagen,golf gte,18280,2,06-2022,31480
volkswagen,golf gte,45161,2,01-2022,27270
volkswagen,golf gte,46361,2,03-2021,22670
volkswagen,golf gte,45072,2,06-2022,25990
volkswagen,golf gte,28876,2,12-2021,23600
volkswagen,golf gte,25428,2,03-2021,23700
volkswagen,golf gte,47241,2,01-2022,26350
volkswagen,golf gte,10,2,12-2022,29950
volkswagen,golf gte,13800,2,12-2020,24830
volkswagen,golf gte,22626,2,03-2022,26490
volkswagen,golf gte,39999,2,03-2021,23480
volkswagen,golf gte,125,2,10-2022,31900
volkswagen,golf gte,23115,2,04-2022,26683
volkswagen,golf gte,50548,2,03-2022,26650
volkswagen,golf gte,71238,2,06-2021,24220
volkswagen,golf gte,43420,2,06-2021,25440
volkswagen,golf gte,18159,2,12-2022,28490
volkswagen,golf gte,50499,2,03-2022,26960
volkswagen,golf gte,24490,2,06-2022,33450
volkswagen,golf gte,54999,2,02-2021,25780
volkswagen,golf gte,35800,2,04-2021,24330
volkswagen,golf gte,45002,2,06-2021,23650
volkswagen,golf gte,26800,2,05-2021,28488
volkswagen,golf gte,45344,2,03-2021,23510
volkswagen,golf gte,6477,2,05-2021,29242
volkswagen,golf gte,29745,2,01-2022,26690
volkswagen,golf gte,16579,2,02-2022,26840
volkswagen,golf gte,39686,2,05-2021,26950
volkswagen,golf gte,16500,2,04-2022,25660
volkswagen,golf gte,30728,2,02-2021,27830
volkswagen,golf gte,35022,2,03-2022,26680
volkswagen,golf gte,58700,2,02-2021,23950
volkswagen,golf gte,14500,2,06-2022,38000
volkswagen,golf gte,19350,2,03-2022,25880
volkswagen,golf gte,39999,2,04-2022,29990
volkswagen,golf gte,30100,2,02-2022,24980
volkswagen,golf gte,33240,2,02-2022,24760
volkswagen,golf gte,64729,2,05-2021,23530
volkswagen,golf gte,25790,2,12-2021,24888
volkswagen,golf gte,52303,2,05-2021,22990
volkswagen,golf gte,6840,2,04-2022,29760
volkswagen,golf gte,30757,2,05-2022,31580
volkswagen,golf gte,27999,2,07-2021,23850
volkswagen,golf gte,35093,2,06-2022,29870
volkswagen,golf gte,55670,2,06-2021,24880
volkswagen,golf gte,11960,2,03-2022,26940
volkswagen,golf gte,59283,2,03-2022,29870
