make,model,mileage,fuel-type,first-registration,price
volkswagen,golf gti,76700,b,06-2018,21880
volkswagen,golf gti,2400,b,05-2024,43480
volkswagen,golf gti,57000,b,02-2023,35490
volkswagen,golf gti,55200,b,03-2021,25890
volkswagen,golf gti,28500,b,01-2022,31740
volkswagen,golf gti,62700,b,05-2018,25740
volkswagen,golf gti,28100,b,04-2021,26990
volkswagen,golf gti,68430,b,03-2021,26930
volkswagen,golf gti,19976,b,11-2023,34900
volkswagen,golf gti,37789,b,01-2018,23550
volkswagen,golf gti,49200,b,07-2021,32890
volkswagen,golf gti,143679,b,05-2012,14998
volkswagen,golf gti,44600,b,03-2021,32890
volkswagen,golf gti,26700,b,05-2022,32410
volkswagen,golf gti,14600,b,04-2023,37320
volkswagen,golf gti,14480,b,11-2023,34900
volkswagen,golf gti,30264,b,03-2022,28940
volkswagen,golf gti,19838,b,11-2022,33575
volkswagen,golf gti,9800,b,08-2023,33940
volkswagen,golf gti,2400,b,05-2024,43480
volkswagen,golf gti,9800,b,08-2023,33940
volkswagen,golf gti,30000,b,06-2022,39970
volkswagen,golf gti,114372,b,12-2019,23489
volkswagen,golf gti,150,b,06-2024,45900
volkswagen,golf gti,100,b,06-2024,39970
volkswagen,golf gti,2700,b,05-2024,47480
volkswagen,golf gti,13990,b,05-2023,37340
volkswagen,golf gti,84000,b,01-2014,15997
volkswagen,golf gti,900,b,05-2024,43900
volkswagen,golf gti,15965,b,11-2022,33550
volkswagen,golf gti,36900,b,12-2021,37940
volkswagen,golf gti,1500,b,02-2024,44980
volkswagen,golf gti,55941,b,01-2021,30780
volkswagen,golf gti,100530,b,11-2017,20440
volkswagen,golf gti,81700,b,08-2016,18100
volkswagen,golf gti,18300,b,07-2023,32790
volkswagen,golf gti,125000,b,08-2015,15880
volkswagen,golf gti,66300,b,10-2020,26480
volkswagen,golf gti,57040,b,05-2022,29289
volkswagen,golf gti,57000,b,02-2023,35490
volkswagen,golf gti,45806,b,12-2018,24980
volkswagen,golf gti,20000,b,01-2014,23880
volkswagen,golf gti,62250,b,01-2018,22450
volkswagen,golf gti,7985,b,01-2023,37317
volkswagen,golf gti,46808,b,10-2019,25990
volkswagen,golf gti,15118,b,06-2023,29880
volkswagen,golf gti,25091,b,01-2022,30950
volkswagen,golf gti,96040,b,03-2021,25700
volkswagen,golf gti,20300,b,11-2022,31280
volkswagen,golf gti,37710,b,05-2022,33450
volkswagen,golf gti,78000,b,04-2019,24330
volkswagen,golf gti,21450,b,01-2023,31990
volkswagen,golf gti,60591,b,08-2016,19985
volkswagen,golf gti,10742,b,05-2023,40940
volkswagen,golf gti,18560,b,02-2022,30950
volkswagen,golf gti,40027,b,03-2021,27980
volkswagen,golf gti,47100,b,11-2019,24700
volkswagen,golf gti,15700,b,01-2023,33370
volkswagen,golf gti,15000,b,02-2023,36849
volkswagen,golf gti,55200,b,03-2021,25890
volkswagen,golf gti,81208,b,02-2018,24800
volkswagen,golf gti,62410,b,12-2017,24965
volkswagen,golf gti,25550,b,03-2023,31990
volkswagen,golf gti,49342,b,07-2019,25445
volkswagen,golf gti,102845,b,10-2021,27490
volkswagen,golf gti,81495,b,01-2020,24950
volkswagen,golf gti,44890,b,05-2022,32360
volkswagen,golf gti,94579,b,07-2019,25980
volkswagen,golf gti,51935,b,09-2020,26360
volkswagen,golf gti,3504,b,11-2022,30345
volkswagen,golf gti,15600,b,12-2020,32980
volkswagen,golf gti,200,b,06-2024,39750
volkswagen,golf gti,45700,b,12-2019,26450
volkswagen,golf gti,43450,b,10-2019,24950
volkswagen,golf gti,11964,b,03-2023,33245
volkswagen,golf gti,14890,b,02-2023,36450
volkswagen,golf gti,2500,b,03-2024,39380
volkswagen,golf gti,25590,b,09-2023,41980
volkswagen,golf gti,91400,b,01-2022,29490
volkswagen,golf gti,28500,b,01-2022,31740
volkswagen,golf gti,89146,b,08-2019,22690
volkswagen,golf gti,47017,b,01-2020,24900
volkswagen,golf gti,30000,b,11-2019,24490
volkswagen,golf gti,59531,b,11-2021,31950
volkswagen,golf gti,20620,b,06-2022,33940
volkswagen,golf gti,71171,b,06-2019,25990
volkswagen,golf gti,8420,b,06-2022,35940
volkswagen,golf gti,19442,b,10-2022,30285
volkswagen,golf gti,22350,b,01-2023,31990
volkswagen,golf gti,35000,b,11-2021,34900
volkswagen,golf gti,16410,b,04-2022,34240
volkswagen,golf gti,10,b,03-2024,37990
volkswagen,golf gti,52302,b,04-2021,28460
volkswagen,golf gti,34381,b,03-2022,31990
volkswagen,golf gti,31800,b,03-2022,33400
volkswagen,golf gti,41000,b,05-2021,28600
volkswagen,golf gti,18590,b,03-2023,33045
volkswagen,golf gti,73170,b,06-2019,25990
volkswagen,golf gti,42748,b,11-2022,31980
volkswagen,golf gti,28100,b,04-2021,26990
volkswagen,golf gti,39110,b,09-2021,35380
volkswagen,golf gti,19990,b,08-2021,32220
volkswagen,golf gti,54100,b,01-2019,26770
volkswagen,golf gti,22929,b,01-2022,34980
volkswagen,golf gti,5141,b,02-2022,32790
volkswagen,golf gti,30300,b,05-2022,30900
volkswagen,golf gti,75493,b,03-2020,31990
volkswagen,golf gti,43510,b,01-2022,31874
volkswagen,golf gti,17500,b,12-2022,34990
volkswagen,golf gti,35900,b,12-2021,32400
volkswagen,golf gti,7019,b,10-2023,35990
volkswagen,golf gti,56800,b,01-2022,33970
volkswagen,golf gti,29725,b,12-2020,34980
volkswagen,golf gti,15310,b,04-2023,38117
volkswagen,golf gti,7907,b,03-2023,39635
volkswagen,golf gti,7451,b,02-2023,37965
volkswagen,golf gti,5000,b,06-2024,42900
volkswagen,golf gti,122000,b,10-2002,13850
volkswagen,golf gti,9776,b,03-2022,33980
volkswagen,golf gti,68430,b,03-2021,26930
volkswagen,golf gti,34157,b,03-2019,22920
volkswagen,golf gti,29250,b,02-2022,28990
volkswagen,golf gti,52160,b,12-2020,26880
volkswagen,golf gti,26752,b,02-2022,32450
volkswagen,golf gti,22668,b,02-2022,28490
volkswagen,golf gti,100,b,07-2023,41920
volkswagen,golf gti,13800,b,01-2023,39930
volkswagen,golf gti,7818,b,03-2022,34950
volkswagen,golf gti,144900,b,07-2011,12500
volkswagen,golf gti,230000,b,06-2006,3999
volkswagen,golf gti,187611,b,11-2014,12580
volkswagen,golf gti,140000,b,01-2014,16199
volkswagen,golf gti,81963,b,11-2012,16950
volkswagen,golf gti,98000,b,03-2015,16900
volkswagen,golf gti,50200,b,10-2017,21900
volkswagen,golf gti,93363,b,07-1990,21400
volkswagen,golf gti,137000,b,07-2012,11500
volkswagen,golf gti,113800,b,05-2018,19300
volkswagen,golf gti,125000,b,08-2015,19000
volkswagen,golf gti,19976,b,11-2023,34900
volkswagen,golf gti,17526,b,05-2022,32420
volkswagen,golf gti,204000,b,10-1994,2999
volkswagen,golf gti,50100,b,05-2021,29980
volkswagen,golf gti,88500,b,06-2015,17890
volkswagen,golf gti,9900,b,04-2019,29990
volkswagen,golf gti,54000,b,12-2019,26990
volkswagen,golf gti,126800,b,12-2012,13960
volkswagen,golf gti,160000,b,07-1985,11900
volkswagen,golf gti,286500,b,05-2007,3999
volkswagen,golf gti,56000,b,06-2018,21700
volkswagen,golf gti,201000,b,10-1997,1999
volkswagen,golf gti,156000,b,11-2009,7000
volkswagen,golf gti,139000,b,04-1991,17000
volkswagen,golf gti,127000,b,06-2011,7000
volkswagen,golf gti,164455,b,07-2011,8700
volkswagen,golf gti,93400,b,02-2017,16490
volkswagen,golf gti,118414,b,03-2016,8950
volkswagen,golf gti,56500,b,06-2018,22900
volkswagen,golf gti,224000,b,11-2004,3200
volkswagen,golf gti,37789,b,01-2018,23550
volkswagen,golf gti,157000,b,07-2007,7200
volkswagen,golf gti,165000,b,05-2008,5200
volkswagen,golf gti,143000,b,05-2010,8800
volkswagen,golf gti,240000,b,04-2010,7200
volkswagen,golf gti,183529,b,04-2012,8150
volkswagen,golf gti,179532,b,02-1992,7250
volkswagen,golf gti,34500,b,12-2019,25500
volkswagen,golf gti,244650,b,06-2010,6500
volkswagen,golf gti,184000,b,11-2009,7200
volkswagen,golf gti,225435,b,12-2006,4800
volkswagen,golf gti,164725,b,04-2010,8000
volkswagen,golf gti,238000,b,12-2009,8450
volkswagen,golf gti,158124,b,10-2006,6250
volkswagen,golf gti,4980,b,01-2017,33000
volkswagen,golf gti,79000,b,04-2017,19999
volkswagen,golf gti,270000,b,12-2007,3800
volkswagen,golf gti,105000,b,03-2020,26990
volkswagen,golf gti,98000,b,01-2019,22500
volkswagen,golf gti,116300,b,07-2011,11750
volkswagen,golf gti,49200,b,07-2021,32890
volkswagen,golf gti,179988,b,03-2006,5990
volkswagen,golf gti,225000,b,09-2011,6789
volkswagen,golf gti,74000,b,05-2019,23990
volkswagen,golf gti,165000,b,06-2012,9999
volkswagen,golf gti,86000,b,05-2017,18250
volkswagen,golf gti,130000,b,02-2002,3900
volkswagen,golf gti,202745,b,05-2005,7200
volkswagen,golf gti,205000,b,04-2011,9000
volkswagen,golf gti,139000,b,03-2017,18500
volkswagen,golf gti,240450,b,08-2008,5100
volkswagen,golf gti,245000,b,07-2006,2500
volkswagen,golf gti,90000,b,07-2009,10500
volkswagen,golf gti,131000,b,01-2011,9999
volkswagen,golf gti,101500,b,10-2013,12500
volkswagen,golf gti,101000,b,06-2017,18800
volkswagen,golf gti,245000,b,09-2009,7500
volkswagen,golf gti,172750,b,10-2009,8600
volkswagen,golf gti,139500,b,01-2012,8888
volkswagen,golf gti,184000,b,07-2012,8900
volkswagen,golf gti,77665,b,04-2019,27890
volkswagen,golf gti,179500,b,09-2011,9999
volkswagen,golf gti,360000,b,04-2001,3000
volkswagen,golf gti,92588,b,04-2017,19910
volkswagen,golf gti,117000,b,09-2007,6500
volkswagen,golf gti,66111,b,10-2009,12300
volkswagen,golf gti,207000,b,11-2007,4950
volkswagen,golf gti,162000,b,06-2012,7900
volkswagen,golf gti,187500,b,07-2009,10500
volkswagen,golf gti,167269,b,06-2007,9950
volkswagen,golf gti,78352,b,07-2015,16080
volkswagen,golf gti,46000,b,04-2019,24300
volkswagen,golf gti,188000,b,11-2010,10499
volkswagen,golf gti,185000,b,05-2012,10500
volkswagen,golf gti,164000,b,03-2005,6000
volkswagen,golf gti,261000,b,05-2005,4500
volkswagen,golf gti,160000,b,03-2014,9200
volkswagen,golf gti,196000,b,03-2008,5950
volkswagen,golf gti,140000,b,07-2014,14000
volkswagen,golf gti,110000,b,08-2017,17499
